pig	sire	dam	year	sex	pen	weanage	weanwt	adg	weight	loinarea
1035	128	127	2005	1	50	20	12.1	2	206	4.64
305	128	127	2005	1	54	20	11.3	1.8	192	4.41
1036	128	127	2005	1	52	20	11.35	2.1	220	4.94
1037	128	127	2005	1	58	20	10.6	1.7	180	3.66
1038	128	127	2005	1	60	20	11	1.9	207	4.69
237	128	127	2005	1	56	20	9.05	1.9	200	5.35
1039	130	129	2005	3	39	21	10.35	1.8	205	5.1
1040	130	129	2005	2	57	21	11.1	1.9	203	5.18
1041	130	129	2005	1	56	21	9.85	1.9	203	5.17
1042	130	129	2005	1	60	21	11	1.9	211	5.21
1043	132	131	2005	2	53	21	7.8	2.1	222	5.03
1044	132	131	2005	3	39	21	8.55	1.8	189	5.03
1045	132	131	2005	1	48	21	7.55	1.7	182	5.2
1046	132	131	2005	1	50	21	8.65	1.9	203	5.78
1047	132	131	2005	1	46	21	7.25	1.7	173	3.89
299	132	131	2005	1	44	21	7.45	1.9	195	4.57
213	132	131	2005	1	52	21	8.55	2.1	208	4.35
1048	132	131	2005	1	54	21	9.4	2.1	230	4.97
204	134	133	2005	2	57	21	12.7	1.5	175	3.81
228	134	133	2005	2	59	21	13.35	2	220	4.29
1049	134	133	2005	3	35	21	13.75	2	215	4.84
1050	134	133	2005	1	56	21	11.35	1.8	202	4.46
266	134	133	2005	1	52	21	9.3	1.9	200	4.35
1051	136	135	2005	3	53	21	9.85	1.8	204	4.73
1052	136	135	2005	3	55	21	11.05	2.1	214	5.94
1053	136	135	2005	3	39	21	9.5	1.9	207	4.62
1054	136	135	2005	1	52	21	11	2	208	4.69
1055	136	135	2005	1	60	21	10.05	2	216	3.93
230	138	137	2005	2	53	21	9.95	2.1	227	6.2
1056	138	137	2005	2	55	21	9.3	1.7	205	5.63
1057	138	137	2005	3	35	21	10.05	2.1	215	5.34
282	138	137	2005	1	50	21	10.15	2	212	4.85
1058	138	137	2005	1	48	21	9.3	1.8	195	4.41
1059	138	137	2005	1	46	21	9.6	2.3	222	4.64
257	138	137	2005	1	52	21	10.95	1.9	210	5.44
1060	140	139	2005	3	51	21	8.6	1.4	154	3.98
1061	140	139	2005	3	37	21	11.15	2.1	220	4.74
1062	140	139	2005	1	12	21	6.9	1.4	170	4.71
1063	140	139	2005	1	50	21	11.55	2	213	4.62
1064	142	141	2005	1	31	21	7.35	1.9	187	4.36
1065	142	141	2005	1	27	21	8.75	2.3	250	4.6
1066	142	141	2005	1	32	21	10.7	2	212	6.47
1067	142	141	2005	1	46	21	12.2	2.1	220	5.15
1068	142	141	2005	1	42	21	10.6	2.4	247	5.22
1069	142	141	2005	1	44	21	11.45	1.9	200	4.84
1070	144	143	2005	2	51	21	9.95	1.9	200	6
1071	144	143	2005	2	53	21	11.45	2	206	5.83
1072	144	143	2005	3	35	21	9.9	2.2	223	5.55
1073	144	143	2005	1	40	21	7.7	1.1	120	3.24
303	144	143	2005	1	50	21	10.3	2.2	224	5.82
280	144	143	2005	1	44	21	9.9	1.9	186	5.1
1074	122	145	2005	2	59	21	11.35	2.1	214	4.46
1075	122	145	2005	2	49	21	16	2.1	235	5.03
1076	122	145	2005	1	40	21	12.7	1.8	189	4.48
1077	122	145	2005	1	42	21	14.65	2.2	240	6.39
288	122	145	2005	1	32	21	14.7	2.2	234	6.2
1078	122	145	2005	1	36	21	12.1	1.7	175	4.69
224	134	146	2005	2	55	21	12.2	1.7	181	3.77
220	134	146	2005	2	49	21	14.65	1.8	190	5.86
1079	134	146	2005	3	35	21	14.6	2	213	5.08
1080	134	146	2005	1	36	21	13	1.7	183	4.92
199	134	146	2005	1	42	21	13.55	1.7	183	4.67
1081	134	146	2005	1	40	21	13.4	2	215	4.3
289	134	146	2005	1	32	21	12.2	1.9	202	4.36
1082	134	146	2005	1	23	21	11.95	1.9	225	5.27
285	134	146	2005	1	48	21	12.9	2	217	5.59
1083	148	147	2005	2	51	21	11	1.8	187	3.94
1084	148	147	2005	3	37	21	13.6	1.7	184	3.44
1085	148	147	2005	2	55	21	11.65	1.6	182	4.21
1086	148	147	2005	1	48	21	10.65	2	195	4.98
1087	148	147	2005	1	40	21	10.9	1.7	177	3.75
1088	148	147	2005	1	36	21	11.05	1.5	164	2.96
270	148	147	2005	1	44	21	13.9	2.1	214	4.88
1089	148	147	2005	1	32	21	11	1.7	174	4.55
1090	150	149	2005	2	49	21	12.75	1.8	195	4.8
1091	150	149	2005	2	53	21	12.6	1.9	196	4.44
261	150	149	2005	1	40	21	13.3	1.7	173	4.55
274	150	149	2005	1	32	21	15.25	1.8	197	4.72
308	150	149	2005	1	42	21	16.4	1.8	204	5.11
1092	150	151	2005	1	52	21	13.75	2	212	6.54
1093	126	152	2005	3	33	21	12.85	1.8	200	5.08
1094	126	152	2005	2	49	21	16.9	1.5	162	3.49
1095	126	152	2005	2	51	21	14.8	2.1	210	6.78
1096	126	152	2005	1	48	21	13.45	1.9	198	4.93
1097	126	152	2005	1	44	21	15.05	2	213	4.51
1098	154	153	2005	3	37	21	17.9	2	228	6.35
1099	154	153	2005	2	55	21	17.4	1.6	184	4.78
216	154	153	2005	2	51	21	14.45	1.6	175	4.67
217	154	153	2005	1	42	21	16.7	2.1	234	5.02
1100	154	153	2005	1	46	21	11.1	1.9	193	5.07
1101	154	153	2005	1	44	21	16.1	2.1	226	5.35
1102	154	153	2005	1	32	21	16.2	2.2	227	5.93
229	154	153	2005	1	50	21	11.45	2	197	5.14
1103	156	155	2005	2	49	21	13.25	1.6	183	4.24
1104	156	155	2005	2	57	21	13.75	1.7	193	5.26
1105	156	155	2005	3	35	21	17.05	2.2	231	4.28
1106	156	155	2005	1	42	21	13	2.1	218	5.87
1107	156	155	2005	1	32	21	11.55	1.7	177	4.5
1108	156	155	2005	1	38	21	12.95	1.7	183	3.83
1109	116	157	2005	2	49	21	8.85	2	200	4.97
1110	116	157	2005	2	47	21	11.7	2.1	221	5.18
1111	116	157	2005	3	33	21	12.8	2.1	220	5.95
1112	159	158	2005	2	15	21	16.6	2	200	4.36
276	159	158	2005	1	50	21	16	2	190	5.57
1113	161	160	2005	3	35	21	15.1	2.2	222	5.57
1114	161	160	2005	2	51	21	11.35	1.4	163	3.92
1115	161	160	2005	2	55	21	13.1	2	223	5.43
1116	161	160	2005	1	54	21	13.3	2.2	224	5.87
1117	161	160	2005	1	48	21	9.95	1.5	155	5.73
1118	142	162	2005	2	51	21	15.6	1.7	204	5.21
1119	142	162	2005	3	37	21	12.75	2.1	214	4.76
1120	142	162	2005	1	38	21	10.85	1.9	187	3.96
1121	142	162	2005	1	34	21	8.9	2	208	5.33
1122	142	162	2005	1	36	21	12.05	2.1	217	4.52
1123	142	162	2005	1	40	21	11.95	1.8	176	4.39
1124	148	163	2005	2	55	21	12.35	1.8	191	4.79
1125	148	163	2005	1	21	21	9.15	1.8	185	3.42
1126	148	163	2005	1	34	21	14.4	1.7	177	4.19
1127	148	163	2005	1	23	21	11.5	1.5	172	3.8
1128	148	163	2005	1	31	21	13.35	1.6	170	4.85
1129	148	163	2005	1	30	21	13.6	1.5	155	3.82
269	148	163	2005	1	46	21	13.55	1.9	198	5.06
245	148	163	2005	1	38	21	14.05	1.5	162	3.75
1130	165	164	2005	2	13	21	15.2	1.8	187	4.87
1131	165	164	2005	3	39	21	14.05	1.8	182	3.79
1132	165	164	2005	1	36	21	11.05	1.9	190	4.84
1133	165	164	2005	1	54	21	13.4	1.8	190	4.67
1134	136	166	2005	2	49	21	13.35	1.6	176	4.48
1135	136	166	2005	3	37	21	11.5	2	205	5.19
1136	136	166	2005	2	59	21	11.4	1.8	190	4.96
1137	136	166	2005	1	27	21	6.05	2	209	4.43
1138	136	166	2005	1	36	21	12	1.7	165	5.39
223	136	166	2005	1	42	21	12.4	1.8	195	4.75
1139	136	166	2005	1	46	21	12.4	1.9	186	4.57
1140	136	166	2005	1	38	21	10.7	2	207	4.81
1141	138	167	2005	2	47	21	10.55	1.8	184	4.26
1142	138	167	2005	3	33	21	9.9	1.9	194	6.39
1143	138	167	2005	1	31	21	11.6	2.1	221	5.32
1144	138	167	2005	1	34	21	11.5	1.7	175	5.04
1145	138	167	2005	1	38	21	12.65	2.2	217	6.29
1146	138	167	2005	1	30	21	9.85	1.8	185	4.73
1147	144	168	2005	2	53	21	12.2	1.9	193	5.31
1148	114	169	2005	3	35	21	10.8	1.9	192	4.51
202	114	169	2005	2	49	21	9.7	1.3	150	3.02
1149	114	169	2005	1	30	21	9.75	1.7	183	4.39
1150	114	169	2005	1	40	21	10.25	1.9	192	4.88
227	114	169	2005	1	31	21	8.8	1.6	165	3.97
281	114	169	2005	1	38	21	9.15	1.9	197	4.78
1151	114	169	2005	1	36	21	10.7	1.2	125	2.42
1152	114	169	2005	1	23	21	9.95	1.8	223	6.77
267	114	169	2005	1	26	21	9.85	1.9	210	4.72
1153	161	170	2005	2	15	21	9.3	2.1	220	4.95
1154	161	170	2005	2	47	21	10.05	1.9	200	4.76
1155	161	170	2005	1	38	21	12.25	1.9	190	5.12
1156	161	170	2005	1	34	21	11.65	2	203	4.85
1157	165	171	2005	2	15	21	11.55	1.7	173	3.98
1158	165	171	2005	2	47	21	14.7	1.6	175	4.19
1159	165	171	2005	3	37	21	14	2.1	204	5.41
1160	165	171	2005	1	30	21	10.4	1.7	172	3.58
1161	165	171	2005	1	34	21	13.55	2	191	5.71
1162	173	172	2005	2	47	21	11.65	1.6	158	4.27
200	173	172	2005	2	53	21	11.25	1.8	190	5.07
1163	173	172	2005	3	37	21	12.05	2	202	5.2
238	173	172	2005	1	34	21	10.8	1.7	168	4.39
219	173	172	2005	1	30	21	11.6	2	200	5.24
1164	136	174	2005	3	33	21	7.75	1.8	175	3.58
1165	136	174	2005	1	30	21	10	1.9	188	4.18
1166	136	174	2005	1	34	21	11.25	1.9	195	4.5
1167	159	175	2005	3	35	21	14.2	2.1	212	6.19
1168	159	175	2005	2	15	21	15.15	1.8	235	4.75
1169	159	175	2005	2	47	21	16.6	1.7	183	5.46
1170	159	175	2005	1	30	21	16.3	1.7	186	4.69
242	159	175	2005	1	34	21	14.6	1.5	175	4.25
1171	120	176	2005	2	15	21	12.55	1.7	186	4.75
1172	120	176	2005	3	37	21	13.05	1.9	198	5.99
1173	120	176	2005	1	31	21	14.2	1.9	191	5.73
292	120	176	2005	1	40	21	11.05	1.9	185	6
268	120	176	2005	1	27	21	9.75	1.7	175	4.7
1174	120	176	2005	1	30	21	12.85	1.7	175	4.31
295	120	176	2005	1	42	21	12.3	1.9	187	6.33
1175	178	177	2005	2	47	21	11.6	1.6	176	4.48
198	178	177	2005	2	15	21	10.05	1.7	192	4.16
1176	178	177	2005	1	31	21	11.8	2	215	5.68
297	178	177	2005	1	36	21	10.7	1.7	166	4.98
264	178	177	2005	1	32	21	10.35	1.9	192	4.93
1177	161	179	2005	2	7	21	12.4	1.8	222	5.01
1178	161	179	2005	2	33	21	12.65	1.4	162	4.07
249	161	179	2005	1	2	21	10.65	2.1	213	6.41
1179	161	179	2005	1	43	21	10.25	1.3	143	4.39
1180	161	179	2005	1	25	21	10.2	1.8	180	5.14
1181	161	179	2005	1	45	21	10.25	1.9	192	5.59
222	118	180	2005	2	9	21	8.95	1.9	192	5.05
253	118	180	2005	1	45	21	9.85	1.5	167	4.15
293	118	180	2005	1	41	21	9.3	1.6	171	4.26
255	118	180	2005	1	2	21	11.45	2.1	219	4.81
1182	140	181	2005	2	9	21	13.25	1.8	212	5.03
1183	140	181	2005	2	7	21	14.25	1.3	184	3.82
1184	140	181	2005	1	45	21	13.9	1.9	197	4.9
263	140	181	2005	1	31	21	15.65	1.4	165	5.04
1185	140	181	2005	1	41	21	14.95	1.8	191	5.29
197	140	181	2005	1	2	21	13.9	1.9	202	5.57
1186	124	182	2005	2	7	21	13.45	1.6	214	4.81
1187	124	182	2005	2	17	21	14.75	1.7	208	5.87
1188	124	182	2005	1	45	21	13.55	2	209	5.44
1189	124	182	2005	1	41	21	12.4	1.7	180	4.7
1190	124	182	2005	1	2	21	12.3	2.2	221	4.36
1191	134	183	2005	2	9	21	11.75	2.1	235	5.22
1192	134	183	2005	1	4	21	9.3	2	200	4.63
1193	128	184	2005	3	17	21	13.35	1.7	200	4.44
1194	128	184	2005	2	13	21	13.9	1.8	200	3.67
1195	128	184	2005	2	11	21	14.1	2	214	5.08
1196	128	184	2005	1	43	21	14.65	1.5	171	4.06
1197	128	184	2005	1	38	21	13.75	1.7	183	4.55
1198	128	184	2005	1	6	21	11.8	2.1	208	5.1
1199	128	184	2005	1	21	21	9.5	2	205	6.07
1200	128	184	2005	1	4	21	9.85	2.1	192	4.24
1201	128	184	2005	1	24	21	11.55	1.9	200	4.78
1202	128	185	2005	2	7	21	12.1	1.7	182	4.06
252	128	185	2005	2	9	21	10.9	1.6	186	5.39
1203	128	185	2005	1	43	21	8.1	1.2	124	2.51
243	128	185	2005	1	31	21	13.2	1.7	174	5.88
1204	128	185	2005	1	45	21	12.6	1.7	175	4.69
1205	128	185	2005	1	21	21	8.25	1.7	166	3.86
1206	128	185	2005	1	41	21	14.45	1.8	183	4.56
1207	128	185	2005	1	2	21	11.85	1.7	181	5.65
1208	154	186	2005	2	7	21	13.35	2	228	5.72
262	154	186	2005	1	21	21	10	2	214	5.29
1209	154	186	2005	1	2	21	12.15	2	222	5.64
1210	154	186	2005	1	45	21	11.9	1.9	194	5.82
1211	154	186	2005	1	43	21	8.65	1.7	177	6.01
1212	156	187	2005	2	9	21	14.15	2	196	4.43
1213	156	187	2005	1	4	21	14.1	1.6	179	4.23
1214	156	187	2005	1	41	21	14.35	1.8	185	4.33
1215	156	187	2005	1	43	21	14.35	1.4	165	4.75
1216	156	187	2005	1	23	21	17.3	1.7	213	4.12
1217	130	188	2005	2	33	21	9.55	1.8	182	4.68
1218	130	188	2005	1	25	21	7.2	1.7	169	4.11
1219	130	188	2005	1	22	21	6.75	1.6	165	3.7
1220	130	188	2005	1	27	21	8.4	2	200	5.16
1221	130	188	2005	1	4	21	8.3	1.8	178	5.18
1222	130	188	2005	1	20	21	8.55	1.8	185	5.67
1223	130	188	2005	1	24	21	10	2	206	5.15
1224	130	188	2005	1	6	21	9.35	1.8	200	5.59
1225	130	188	2005	1	26	21	9.4	2	216	5.31
259	132	189	2005	2	9	21	14.75	2.1	230	5.18
1226	132	189	2005	3	17	21	14.7	1.9	207	4.6
1227	132	189	2005	2	5	21	12.05	1.6	170	4.55
298	132	189	2005	1	43	21	11.75	1.6	175	4.97
271	132	189	2005	1	45	21	13.05	1.6	176	4.48
240	132	189	2005	1	2	21	14.25	2.3	224	4.57
1228	191	190	2005	2	17	21	12.05	2.4	222	4.5
1229	191	190	2005	2	7	21	12.3	1.5	173	5.01
1230	191	190	2005	2	9	21	13.35	2	215	4.54
1231	191	190	2005	1	45	21	11.8	1.7	176	4.6
201	191	190	2005	1	2	21	13.15	2.3	232	5.63
1232	191	190	2005	1	41	21	12.7	1.8	186	5.22
1233	116	192	2005	2	11	21	12	1.5	164	3.9
1234	116	192	2005	1	43	21	11.3	2.1	214	5.78
1235	116	192	2005	1	23	21	13.3	2	221	6.07
1236	116	192	2005	1	4	21	9.25	1.8	185	4.44
226	114	193	2005	2	11	21	12.85	2.3	239	5.33
1237	114	193	2005	1	6	21	12.4	1.8	182	4.99
277	114	193	2005	1	26	21	13.85	2	215	5.11
273	114	193	2005	1	4	21	12.05	1.8	190	4.74
1238	114	193	2005	1	24	21	12.55	1.4	163	4.47
208	120	194	2005	2	13	21	11.45	2	207	5.05
1239	120	194	2005	3	17	21	9.5	2.2	216	5.9
231	120	194	2005	1	6	21	8.2	1.8	182	4.29
1240	120	194	2005	1	25	21	8.55	1.8	178	4.96
1241	120	194	2005	1	21	21	9.95	1.8	193	4.48
244	120	194	2005	1	26	21	8.3	1.8	195	6.73
283	120	194	2005	1	27	21	6.4	1.7	168	4.87
1242	132	195	2005	2	13	21	14.75	1.4	200	4.61
246	132	195	2005	1	24	21	11.05	2	202	5.31
1243	132	195	2005	1	6	21	12.75	1.8	196	4.44
1244	132	195	2005	1	22	21	12.7	1.7	190	4.15
254	132	195	2005	1	4	21	13.7	1.9	215	5.42
1245	165	196	2005	2	11	21	12.15	2	222	5.29
1246	165	196	2005	1	22	21	9.6	1.8	186	4.61
1247	165	196	2005	1	24	21	11.55	2.1	222	5.85
1248	165	196	2005	1	6	21	10.2	2	209	6.37
324	198	197	2006	2	57	21	13.9	1.8	240	6.38
392	198	197	2006	2	59	21	12.2	1.7	240	5.86
1249	198	197	2006	3	49	21	13.55	1.8	243	6.98
417	198	197	2006	1	56	21	11.3	1.5	208	6.94
349	198	197	2006	1	58	21	13.85	1.7	246	6.65
1250	198	197	2006	1	54	21	12.45	1.8	244	7
396	198	197	2006	1	60	21	11.95	1.7	233	6.07
1251	200	199	2006	3	51	20	8.45	1.9	255	6.95
1252	200	199	2006	2	53	20	9.9	1.5	200	4.49
372	200	199	2006	1	32	20	11.3	1.7	217	5.33
348	200	199	2006	1	52	20	9.6	2.1	270	6.54
1253	202	201	2006	3	51	20	13.05	2	275	6.05
1254	202	201	2006	1	50	20	12.2	1.9	245	5.44
1255	202	201	2006	1	48	20	9.95	1.6	215	6.51
1256	202	201	2006	1	56	20	10.65	1.9	270	6.27
1257	202	201	2006	1	52	20	7.9	2.1	274	6.23
1258	204	203	2006	3	49	20	13.15	1.9	260	6.45
342	204	203	2006	2	59	20	11.35	1.8	246	4.6
1259	204	203	2006	2	57	20	14	1.7	230	4.48
1260	204	203	2006	1	48	20	12.4	1.8	238	6.13
359	204	203	2006	1	58	20	14.15	1.7	245	5.83
404	204	203	2006	1	50	20	14.2	1.9	270	6.78
399	204	203	2006	1	54	20	13.6	1.8	255	7.76
322	206	205	2006	2	59	19	12.5	2.2	295	7.02
1261	206	205	2006	2	57	19	13.7	2.2	294	6.46
1262	206	205	2006	3	51	19	11.4	2.2	296	7.3
381	206	205	2006	1	48	19	5.45	1.7	218	6.21
414	206	205	2006	1	54	19	12.65	1.8	245	6.95
1263	206	205	2006	1	56	19	11.55	2.3	311	8.75
1264	206	205	2006	1	58	19	11.15	1.9	265	7.48
319	206	205	2006	1	60	19	11.2	1.9	274	7.71
1265	208	207	2006	3	49	19	12.05	2.2	307	5.65
1266	208	207	2006	2	57	19	11.75	2.2	300	8.37
1267	208	207	2006	1	5	19	6.15	1.9	236	5.32
1268	208	207	2006	1	54	19	11.7	2	285	7.79
1269	210	209	2006	2	55	23	13.7	1.7	230	6.49
1270	210	209	2006	1	56	23	12.4	1.8	250	5.26
1271	210	209	2006	1	52	23	11.5	1.9	255	6.06
1272	212	211	2006	3	49	22	15.5	2.1	286	6.5
1273	212	211	2006	1	54	22	18.45	1.8	255	6.25
1274	214	213	2006	3	49	22	13	2	267	5.42
1275	214	213	2006	2	59	22	13.25	2.3	290	6.05
1276	214	213	2006	1	48	22	12.8	1.7	241	6.72
1277	214	213	2006	1	56	22	9.6	1.9	250	5.62
1278	214	213	2006	1	50	22	12.2	2	265	5.93
1279	214	213	2006	1	58	22	12.65	1.9	267	6.84
1280	216	215	2006	2	59	22	14.95	2.3	299	6.64
1281	216	215	2006	1	60	22	14.5	2	275	5.47
1282	216	215	2006	1	58	22	19.45	2.1	289	7.36
1283	218	217	2006	2	55	22	10.8	2.3	295	6.33
1284	218	217	2006	3	49	22	14.25	2.2	292	7.21
358	218	217	2006	2	59	22	16.5	2.2	300	6.01
312	218	217	2006	1	50	22	13.6	1.9	268	6.05
1285	218	217	2006	1	60	22	14.8	2.2	296	6.88
310	218	217	2006	1	58	22	13.25	1.9	255	6.06
402	218	217	2006	1	54	22	16.8	2	275	6.67
1286	220	219	2006	2	55	21	13.75	1.9	240	6.08
1287	220	219	2006	3	17	21	12.15	2.2	261	5.75
1288	220	219	2006	1	50	21	13.5	1.7	232	5.76
1289	222	221	2006	2	57	20	16.5	1.9	260	5.2
1290	222	221	2006	3	49	20	15.95	2	278	6.21
1291	222	221	2006	1	5	20	14.25	1.7	234	4.49
1292	222	221	2006	1	54	20	16.7	1.7	244	7.32
1293	224	223	2006	3	51	20	13.5	2	260	5.91
330	224	223	2006	2	59	20	14.05	2	261	6.67
1294	224	223	2006	2	55	20	12.7	2	265	6.2
390	224	223	2006	1	56	20	12.3	1.7	225	5.41
1295	224	223	2006	1	34	20	11.25	2	250	5.43
1296	224	223	2006	1	60	20	13.85	2.1	277	4.53
1297	224	223	2006	1	48	20	10.3	1.8	243	5.1
1298	224	223	2006	1	52	20	11.95	1.5	202	5.04
1299	226	225	2006	2	55	20	13.8	2.1	269	5.86
1300	226	225	2006	3	51	20	11.7	2.1	274	7.7
1301	226	225	2006	1	50	20	16.05	2	250	6.42
1302	226	225	2006	1	52	20	12.25	1.6	207	5.75
1303	226	225	2006	1	7	20	12.2	1.5	184	4.29
1304	228	227	2006	2	57	19	15.1	1.9	259	6.19
1305	228	227	2006	2	55	19	11.7	2.1	270	5.11
1306	228	227	2006	3	51	19	11	2.1	272	5.73
398	228	227	2006	1	50	19	10.8	2	276	6.47
317	228	227	2006	1	58	19	13.6	2	278	7.44
362	228	227	2006	1	56	19	10.8	1.7	217	5.41
1307	228	227	2006	1	54	19	15.4	1.9	252	5.58
1308	230	229	2006	3	49	21	7.7	2.1	265	5.87
318	230	229	2006	2	45	21	10.35	1.7	223	5.54
1309	230	229	2006	2	53	21	11.65	2.2	275	5.44
1310	230	229	2006	1	36	21	10.8	2	256	6.33
394	230	229	2006	1	50	21	15	2.1	277	6.51
1311	230	229	2006	1	48	21	9.6	2.2	295	7.31
1312	232	231	2006	2	53	20	11.25	1.8	228	5.59
408	232	231	2006	1	60	20	10	1.6	206	4.92
1313	232	231	2006	1	2	20	9.05	1.9	222	5.67
1314	232	231	2006	1	4	20	7.75	1.8	223	5.22
1315	234	233	2006	2	55	19	12.4	1.9	245	6.51
1316	234	233	2006	3	19	19	12.8	2.3	249	6.81
1317	234	233	2006	1	60	19	12.8	1.6	225	4.94
1318	234	233	2006	1	3	19	10.35	1.7	200	5.6
1319	234	233	2006	1	56	19	12.1	2.2	277	6.8
1320	234	233	2006	1	52	19	14.15	1.8	231	6.26
1321	236	235	2006	2	53	19	11.95	2	266	6.37
346	236	235	2006	2	59	19	12.15	2.2	285	6.49
1322	236	235	2006	3	51	19	10.75	2.2	289	7.55
1323	236	235	2006	1	48	19	9.15	2.1	275	6.6
400	236	235	2006	1	40	19	10.1	2.2	285	7.33
338	236	235	2006	1	38	19	10.55	2.1	276	6.62
316	236	235	2006	1	36	19	10.55	2.1	270	5.6
1324	214	237	2006	2	55	22	18.25	2.2	285	5.97
1325	214	237	2006	1	48	22	17.75	2	267	6.19
1326	214	237	2006	1	52	22	12.8	1.9	256	6.33
1327	228	238	2006	2	53	22	15.6	2.1	276	6.08
1328	228	238	2006	1	9	22	14.35	1.7	175	5.81
1329	210	239	2006	2	53	22	15.05	1.8	233	6.51
1330	210	239	2006	3	51	22	13.2	1.8	225	5.94
1331	210	239	2006	1	9	22	7.25	1.4	156	4.99
329	210	239	2006	1	32	22	11.4	1.6	205	6.38
1332	210	239	2006	1	3	22	10.15	1.6	200	6.92
1333	206	240	2006	3	39	21	10.7	1.9	235	5.81
1334	206	240	2006	2	53	21	12.7	1.9	250	7.32
1335	206	240	2006	3	17	21	11.05	1.6	206	5.2
376	206	240	2006	1	58	21	12.3	1.8	235	6.45
403	206	240	2006	1	52	21	10.15	1.8	226	6.06
361	204	241	2006	2	47	21	19.55	1.7	237	5.33
406	204	241	2006	1	46	21	20.75	1.5	210	5.28
1336	204	241	2006	1	44	21	20.8	1.8	249	5.36
1337	224	242	2006	2	31	21	12.7	2	250	4.78
1338	224	242	2006	2	19	21	14.1	2.3	263	5.8
1339	224	242	2006	1	44	21	14.5	2	255	5.57
1340	224	242	2006	1	46	21	15.25	1.8	236	5.52
1341	224	242	2006	1	13	21	16.15	2	230	5.58
353	224	242	2006	1	11	21	12.45	2.1	251	5.26
1342	208	243	2006	2	41	21	12.95	1.9	245	5.92
1343	208	243	2006	2	47	21	14.4	1.7	227	5.38
377	208	243	2006	1	38	21	12.45	1.9	240	5.57
327	208	243	2006	1	46	21	13.6	1.8	236	7.26
1344	208	243	2006	1	42	21	11.5	1.7	220	5.65
1345	222	244	2006	2	41	21	11.65	1.9	236	5.37
378	222	244	2006	1	44	21	12.5	1.6	200	4.49
1346	222	244	2006	1	32	21	14.95	1.8	227	5.6
356	222	244	2006	1	1	21	12.6	1.8	213	6.73
1347	222	244	2006	1	15	21	10.6	1.7	190	5.25
1348	222	244	2006	1	42	21	11.3	1.8	228	5.31
323	222	244	2006	1	10	21	12.45	2	223	5.11
1349	200	245	2006	3	37	21	12.4	1.9	238	5.11
1350	200	245	2006	2	47	21	16.2	2.1	262	4.88
401	200	245	2006	1	44	21	15.1	1.7	220	5.72
1351	200	245	2006	1	46	21	14.05	1.8	233	5.5
1352	200	245	2006	1	42	21	10.3	1.8	217	5.81
1353	247	246	2006	2	47	21	12.75	2	248	6.01
1354	247	246	2006	2	43	21	10.15	2	247	5.51
1355	247	246	2006	3	39	21	12.35	2.3	275	6.88
1356	247	246	2006	1	44	21	15.35	2.3	300	5.97
1357	247	246	2006	1	42	21	13.7	2.1	258	6.16
1358	247	246	2006	1	46	21	14.7	2.2	281	7.21
360	247	246	2006	1	40	21	12.5	1.9	239	6.63
334	210	248	2006	2	41	22	12.2	1.9	242	6.12
1359	210	248	2006	3	37	22	12.25	1.9	230	7.14
311	210	248	2006	2	45	22	13.65	2.2	276	6.36
336	210	248	2006	1	36	22	13.25	2.1	271	7
321	210	248	2006	1	40	22	12.1	1.7	223	5.35
335	210	248	2006	1	38	22	14	1.7	217	6.48
1360	210	248	2006	1	42	22	13.9	1.7	224	6.89
328	198	249	2006	2	45	22	17.95	2.1	270	6.94
1361	198	249	2006	2	41	22	17.4	2	253	5.14
341	198	249	2006	1	40	22	16.2	1.8	234	5.8
347	198	249	2006	1	36	22	16.65	1.8	230	5.19
1362	198	249	2006	1	42	22	14.35	1.8	235	6.33
369	236	250	2006	1	46	21	12.45	2	258	8.03
1363	236	250	2006	1	44	21	16.4	1.8	243	6.91
1364	252	251	2006	3	37	21	13.75	1.8	225	5.96
1365	252	251	2006	2	41	21	14.4	2.2	278	7.46
1366	252	251	2006	2	47	21	15.9	2.1	267	6.04
337	204	253	2006	2	45	21	13.8	2.1	258	5.77
1367	204	253	2006	3	37	21	13.45	1.9	238	5.77
391	204	253	2006	1	40	21	12.75	1.8	226	6.74
384	204	253	2006	1	36	21	13	1.8	236	6.3
374	204	253	2006	1	38	21	13.15	1.9	238	5.71
1368	218	254	2006	2	47	21	17.2	2.2	263	5.6
1369	218	254	2006	1	38	21	17.2	2	239	4.52
1370	218	254	2006	1	44	21	17.3	2.1	268	5.07
1371	218	254	2006	1	46	21	15.55	2	240	5.84
1372	216	255	2006	3	39	21	10.8	2	238	5.81
1373	216	255	2006	2	47	21	12.9	2	242	6.98
1374	216	255	2006	1	34	21	11.9	2.2	257	6.8
320	200	256	2006	2	45	21	16.15	2.2	280	5.77
1375	200	256	2006	2	53	21	15.75	2	252	6.77
1376	200	256	2006	1	5	21	8.25	1.7	205	4.25
313	206	257	2006	2	45	21	16.45	2.1	257	5.72
371	206	257	2006	1	36	21	16.7	1.9	238	6.64
393	206	257	2006	1	40	21	15.45	2	240	6.83
1377	206	257	2006	1	3	21	14	1.4	177	6.48
1378	259	258	2006	3	37	21	13.4	1.7	217	5.8
1379	259	258	2006	2	47	21	14.65	1.9	245	5.75
1380	259	258	2006	1	32	21	14.5	1.8	226	5.57
1381	259	258	2006	1	34	21	14.3	1.8	226	5.95
1382	259	258	2006	1	10	21	13.75	1.7	206	5.23
